date,amfi_code,scheme_name,nav
2012-12-31,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,23.992
2013-01-01,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,23.9979
2013-01-02,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.0036
2013-01-03,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.0092
2013-01-04,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.0147
2013-01-05,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.0147
2013-01-06,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.0258
2013-01-07,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.0314
2013-01-08,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.0369
2013-01-09,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.0424
2013-01-10,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.0479
2013-01-11,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.0534
2013-01-12,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.0534
2013-01-13,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.0643
2013-01-14,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.0698
2013-01-15,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.0754
2013-01-16,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.0809
2013-01-17,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.0863
2013-01-18,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.0918
2013-01-19,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.0918
2013-01-20,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.1028
2013-01-21,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.1084
2013-01-22,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.1139
2013-01-23,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.1194
2013-01-24,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.1249
2013-01-25,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.1249
2013-01-26,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.1249
2013-01-27,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.1413
2013-01-28,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.1468
2013-01-29,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.1522
2013-01-30,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.1577
2013-01-31,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.1631
2013-02-01,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.1686
2013-02-02,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.1686
2013-02-03,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.1795
2013-02-04,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.1849
2013-02-05,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.1903
2013-02-06,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.1959
2013-02-07,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.2013
2013-02-08,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.2067
2013-02-09,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.2067
2013-02-10,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.2174
2013-02-11,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,24.223
