date,amfi_code,scheme_name,nav
2013-01-07,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6076
2013-01-08,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6239
2013-01-09,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6492
2013-01-10,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6784
2013-01-11,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6305
2013-01-12,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6305
2013-01-13,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6305
2013-01-14,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6862
2013-01-15,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6993
2013-01-16,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6804
2013-01-17,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6565
2013-01-18,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.658
2013-01-19,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.658
2013-01-20,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.658
2013-01-21,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6574
2013-01-22,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6627
2013-01-23,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6688
2013-01-24,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6574
2013-01-25,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6611
2013-01-26,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6611
2013-01-27,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6611
2013-01-28,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6878
2013-01-29,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.674
2013-01-30,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6441
2013-01-31,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6763
2013-02-01,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.7201
2013-02-02,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.7201
2013-02-03,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.7201
2013-02-04,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.7231
2013-02-05,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6673
2013-02-06,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.7067
2013-02-07,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6882
2013-02-08,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6813
2013-02-09,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6813
2013-02-10,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6813
2013-02-11,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.5643
2013-02-12,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.6846
2013-02-13,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.693
2013-02-14,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,30.648
