date,amfi_code,scheme_name,nav
2013-11-18,125497.0,SBI Small Cap Fund - Direct Plan - Growth,13.0894
2013-11-19,125497.0,SBI Small Cap Fund - Direct Plan - Growth,13.1068
2013-11-20,125497.0,SBI Small Cap Fund - Direct Plan - Growth,12.9549
2013-11-21,125497.0,SBI Small Cap Fund - Direct Plan - Growth,12.7957
2013-11-22,125497.0,SBI Small Cap Fund - Direct Plan - Growth,12.7775
2013-11-23,125497.0,SBI Small Cap Fund - Direct Plan - Growth,12.7775
2013-11-24,125497.0,SBI Small Cap Fund - Direct Plan - Growth,12.7775
2013-11-25,125497.0,SBI Small Cap Fund - Direct Plan - Growth,12.8548
2013-11-26,125497.0,SBI Small Cap Fund - Direct Plan - Growth,12.8591
2013-11-27,125497.0,SBI Small Cap Fund - Direct Plan - Growth,12.8389
2013-11-28,125497.0,SBI Small Cap Fund - Direct Plan - Growth,12.8773
2013-11-29,125497.0,SBI Small Cap Fund - Direct Plan - Growth,12.9509
2013-11-30,125497.0,SBI Small Cap Fund - Direct Plan - Growth,12.9509
2013-12-01,125497.0,SBI Small Cap Fund - Direct Plan - Growth,12.9509
2013-12-02,125497.0,SBI Small Cap Fund - Direct Plan - Growth,13.0012
2013-12-03,125497.0,SBI Small Cap Fund - Direct Plan - Growth,13.0048
2013-12-04,125497.0,SBI Small Cap Fund - Direct Plan - Growth,12.9799
2013-12-05,125497.0,SBI Small Cap Fund - Direct Plan - Growth,13.0319
2013-12-06,125497.0,SBI Small Cap Fund - Direct Plan - Growth,13.0439
2013-12-07,125497.0,SBI Small Cap Fund - Direct Plan - Growth,13.0439
2013-12-08,125497.0,SBI Small Cap Fund - Direct Plan - Growth,13.0439
2013-12-09,125497.0,SBI Small Cap Fund - Direct Plan - Growth,13.0282
2013-12-10,125497.0,SBI Small Cap Fund - Direct Plan - Growth,13.0325
2013-12-11,125497.0,SBI Small Cap Fund - Direct Plan - Growth,13.0129
2013-12-12,125497.0,SBI Small Cap Fund - Direct Plan - Growth,13.0021
2013-12-13,125497.0,SBI Small Cap Fund - Direct Plan - Growth,12.9891
2013-12-14,125497.0,SBI Small Cap Fund - Direct Plan - Growth,12.9891
2013-12-15,125497.0,SBI Small Cap Fund - Direct Plan - Growth,12.9891
2013-12-16,125497.0,SBI Small Cap Fund - Direct Plan - Growth,13.0345
2013-12-17,125497.0,SBI Small Cap Fund - Direct Plan - Growth,12.9569
